Funktionsname,Component
GMImage.GetPNGAsHex,GraphicsMagick
GMImage.GetPage,GraphicsMagick
GMImage.GetPixelColor,GraphicsMagick
GMImage.GetProfile,GraphicsMagick
GMImage.GetQuality,GraphicsMagick
GMImage.GetQuantizeColorSpace,GraphicsMagick
GMImage.GetQuantizeColors,GraphicsMagick
GMImage.GetQuantizeDither,GraphicsMagick
GMImage.GetQuantizeTreeDepth,GraphicsMagick
GMImage.GetQuiet,GraphicsMagick
GMImage.GetRenderingIntent,GraphicsMagick
GMImage.GetResolutionUnits,GraphicsMagick
GMImage.GetScene,GraphicsMagick
GMImage.GetSize,GraphicsMagick
GMImage.GetStrokeAntiAlias,GraphicsMagick
GMImage.GetStrokeColor,GraphicsMagick
GMImage.GetStrokeDashArray,GraphicsMagick
GMImage.GetStrokeDashOffset,GraphicsMagick
GMImage.GetStrokeLineCap,GraphicsMagick
GMImage.GetStrokeLineJoin,GraphicsMagick
GMImage.GetStrokeMiterLimit,GraphicsMagick
GMImage.GetStrokeWidth,GraphicsMagick
GMImage.GetSubImage,GraphicsMagick
GMImage.GetSubRange,GraphicsMagick
GMImage.GetTextEncoding,GraphicsMagick
GMImage.GetTileName,GraphicsMagick
GMImage.GetType,GraphicsMagick
GMImage.GetVerbose,GraphicsMagick
GMImage.GetView,GraphicsMagick
GMImage.GetWidth,GraphicsMagick
GMImage.GetXMP,GraphicsMagick
GMImage.GetZPL,GraphicsMagick
GMImage.GetColorMap,GraphicsMagick
GMImage.Hash,GraphicsMagick
GMImage.ImageCount,GraphicsMagick
GMImage.Implode,GraphicsMagick
GMImage.InvertChannel,GraphicsMagick
GMImage.IsGray,GraphicsMagick
GMImage.IsLoggingEnabled,GraphicsMagick
GMImage.Level,GraphicsMagick
GMImage.LevelChannel,GraphicsMagick
GMImage.List,GraphicsMagick
GMImage.ListTypeInfo,GraphicsMagick
GMImage.MagickVersion,GraphicsMagick
GMImage.Magnify,GraphicsMagick
GMImage.Map,GraphicsMagick
